,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Sat Jul 14 19:03:07 +0000 2018,1.0,0.0,0.0,1,@BBC
1,0.3818,Sat Jul 14 18:03:04 +0000 2018,0.843,0.0,0.157,2,@BBC
2,0.8271,Sat Jul 14 17:32:50 +0000 2018,0.609,0.0,0.391,3,@BBC
3,0.6688,Sat Jul 14 16:23:10 +0000 2018,0.824,0.0,0.176,4,@BBC
4,0.2714,Sat Jul 14 16:03:05 +0000 2018,0.621,0.147,0.232,5,@BBC
5,0.0,Sat Jul 14 13:03:04 +0000 2018,1.0,0.0,0.0,6,@BBC
6,0.0,Sat Jul 14 12:10:55 +0000 2018,1.0,0.0,0.0,7,@BBC
7,0.0,Sat Jul 14 12:08:51 +0000 2018,1.0,0.0,0.0,8,@BBC
8,0.0,Sat Jul 14 12:04:02 +0000 2018,1.0,0.0,0.0,9,@BBC
9,0.0,Sat Jul 14 11:13:46 +0000 2018,1.0,0.0,0.0,10,@BBC
10,0.0,Sat Jul 14 11:07:03 +0000 2018,1.0,0.0,0.0,11,@BBC
11,-0.2732,Sat Jul 14 10:03:02 +0000 2018,0.87,0.13,0.0,12,@BBC
12,0.1027,Sat Jul 14 09:54:33 +0000 2018,0.924,0.0,0.076,13,@BBC
13,0.4019,Sat Jul 14 09:07:03 +0000 2018,0.838,0.0,0.162,14,@BBC
14,0.7506,Sat Jul 14 08:02:07 +0000 2018,0.652,0.0,0.348,15,@BBC
15,0.6249,Sat Jul 14 07:33:07 +0000 2018,0.608,0.118,0.274,16,@BBC
16,-0.7003,Sat Jul 14 07:04:02 +0000 2018,0.734,0.266,0.0,17,@BBC
17,0.7964,Fri Jul 13 20:32:04 +0000 2018,0.728,0.0,0.272,18,@BBC
18,0.8268,Fri Jul 13 18:31:05 +0000 2018,0.688,0.0,0.312,19,@BBC
19,0.0,Fri Jul 13 18:30:37 +0000 2018,1.0,0.0,0.0,20,@BBC
20,-0.7876,Fri Jul 13 17:32:04 +0000 2018,0.669,0.331,0.0,21,@BBC
21,0.9022,Fri Jul 13 17:02:05 +0000 2018,0.643,0.0,0.357,22,@BBC
22,-0.0516,Fri Jul 13 15:59:00 +0000 2018,0.938,0.062,0.0,23,@BBC
23,0.0,Fri Jul 13 15:47:44 +0000 2018,1.0,0.0,0.0,24,@BBC
24,0.0382,Fri Jul 13 15:04:04 +0000 2018,0.943,0.0,0.057,25,@BBC
25,-0.7579,Fri Jul 13 12:03:03 +0000 2018,0.418,0.427,0.155,26,@BBC
26,0.3182,Fri Jul 13 11:03:03 +0000 2018,0.881,0.0,0.119,27,@BBC
27,0.0,Fri Jul 13 10:01:02 +0000 2018,1.0,0.0,0.0,28,@BBC
28,0.0,Fri Jul 13 09:59:32 +0000 2018,1.0,0.0,0.0,29,@BBC
29,0.0,Fri Jul 13 08:03:04 +0000 2018,1.0,0.0,0.0,30,@BBC
30,0.1779,Fri Jul 13 07:27:05 +0000 2018,0.909,0.0,0.091,31,@BBC
31,0.0,Fri Jul 13 07:03:02 +0000 2018,1.0,0.0,0.0,32,@BBC
32,-0.0772,Thu Jul 12 20:02:02 +0000 2018,0.929,0.071,0.0,33,@BBC
33,0.6249,Thu Jul 12 18:04:07 +0000 2018,0.785,0.0,0.215,34,@BBC
34,-0.0258,Thu Jul 12 17:03:06 +0000 2018,0.539,0.215,0.246,35,@BBC
35,0.0,Thu Jul 12 16:03:02 +0000 2018,1.0,0.0,0.0,36,@BBC
36,0.6597,Thu Jul 12 14:47:18 +0000 2018,0.512,0.178,0.31,37,@BBC
37,0.4404,Thu Jul 12 13:04:03 +0000 2018,0.854,0.0,0.146,38,@BBC
38,0.0,Thu Jul 12 12:04:04 +0000 2018,1.0,0.0,0.0,39,@BBC
39,-0.3182,Thu Jul 12 11:43:48 +0000 2018,0.913,0.087,0.0,40,@BBC
40,0.0,Thu Jul 12 11:02:03 +0000 2018,1.0,0.0,0.0,41,@BBC
41,0.0,Thu Jul 12 10:30:00 +0000 2018,1.0,0.0,0.0,42,@BBC
42,-0.1788,Thu Jul 12 08:03:03 +0000 2018,0.733,0.182,0.086,43,@BBC
43,0.0,Thu Jul 12 07:31:08 +0000 2018,1.0,0.0,0.0,44,@BBC
44,0.0,Thu Jul 12 07:03:04 +0000 2018,1.0,0.0,0.0,45,@BBC
45,0.0,Wed Jul 11 20:39:03 +0000 2018,1.0,0.0,0.0,46,@BBC
46,0.0,Wed Jul 11 20:23:23 +0000 2018,1.0,0.0,0.0,47,@BBC
47,-0.1027,Wed Jul 11 20:03:46 +0000 2018,0.924,0.076,0.0,48,@BBC
48,0.3612,Wed Jul 11 19:52:13 +0000 2018,0.865,0.0,0.135,49,@BBC
49,-0.296,Wed Jul 11 19:49:56 +0000 2018,0.694,0.306,0.0,50,@BBC
50,0.0,Wed Jul 11 19:27:11 +0000 2018,1.0,0.0,0.0,51,@BBC
51,-0.0191,Wed Jul 11 19:20:29 +0000 2018,0.944,0.056,0.0,52,@BBC
52,0.0,Wed Jul 11 19:16:46 +0000 2018,1.0,0.0,0.0,53,@BBC
53,0.6705,Wed Jul 11 19:02:33 +0000 2018,0.776,0.0,0.224,54,@BBC
54,0.3182,Wed Jul 11 19:02:02 +0000 2018,0.874,0.0,0.126,55,@BBC
55,0.0,Wed Jul 11 18:50:03 +0000 2018,1.0,0.0,0.0,56,@BBC
56,0.0,Wed Jul 11 18:06:07 +0000 2018,1.0,0.0,0.0,57,@BBC
57,0.0,Wed Jul 11 18:00:11 +0000 2018,1.0,0.0,0.0,58,@BBC
58,0.0,Wed Jul 11 17:57:05 +0000 2018,1.0,0.0,0.0,59,@BBC
59,0.0,Wed Jul 11 17:01:04 +0000 2018,1.0,0.0,0.0,60,@BBC
60,0.0,Wed Jul 11 16:01:05 +0000 2018,1.0,0.0,0.0,61,@BBC
61,0.0,Wed Jul 11 13:03:06 +0000 2018,1.0,0.0,0.0,62,@BBC
62,0.5994,Wed Jul 11 11:32:03 +0000 2018,0.692,0.0,0.308,63,@BBC
63,0.3612,Wed Jul 11 11:02:02 +0000 2018,0.884,0.0,0.116,64,@BBC
64,0.0,Wed Jul 11 09:53:20 +0000 2018,1.0,0.0,0.0,65,@BBC
65,0.5719,Wed Jul 11 09:32:05 +0000 2018,0.829,0.0,0.171,66,@BBC
66,-0.2732,Wed Jul 11 09:04:05 +0000 2018,0.905,0.095,0.0,67,@BBC
67,0.5859,Wed Jul 11 08:00:00 +0000 2018,0.798,0.0,0.202,68,@BBC
68,0.5018,Wed Jul 11 07:39:04 +0000 2018,0.755,0.0,0.245,69,@BBC
69,-0.8402,Wed Jul 11 07:33:03 +0000 2018,0.571,0.429,0.0,70,@BBC
70,0.0,Wed Jul 11 07:03:05 +0000 2018,1.0,0.0,0.0,71,@BBC
71,0.0,Tue Jul 10 20:02:05 +0000 2018,1.0,0.0,0.0,72,@BBC
72,0.0,Tue Jul 10 19:04:02 +0000 2018,1.0,0.0,0.0,73,@BBC
73,0.8625,Tue Jul 10 18:04:04 +0000 2018,0.556,0.0,0.444,74,@BBC
74,0.7717,Tue Jul 10 17:31:05 +0000 2018,0.676,0.0,0.324,75,@BBC
75,-0.8338,Tue Jul 10 15:32:02 +0000 2018,0.593,0.34,0.066,76,@BBC
76,0.7269,Tue Jul 10 15:14:38 +0000 2018,0.711,0.0,0.289,77,@BBC
77,0.6763,Tue Jul 10 13:01:05 +0000 2018,0.68,0.079,0.242,78,@BBC
78,0.4939,Tue Jul 10 12:18:03 +0000 2018,0.868,0.0,0.132,79,@BBC
79,0.0,Tue Jul 10 12:03:04 +0000 2018,1.0,0.0,0.0,80,@BBC
80,0.4588,Tue Jul 10 11:33:00 +0000 2018,0.769,0.073,0.158,81,@BBC
81,-0.5632,Tue Jul 10 11:04:01 +0000 2018,0.812,0.188,0.0,82,@BBC
82,0.0,Tue Jul 10 09:17:05 +0000 2018,1.0,0.0,0.0,83,@BBC
83,0.3612,Tue Jul 10 09:06:27 +0000 2018,0.884,0.0,0.116,84,@BBC
84,0.8402,Tue Jul 10 08:59:10 +0000 2018,0.5,0.0,0.5,85,@BBC
85,0.0,Tue Jul 10 08:56:04 +0000 2018,1.0,0.0,0.0,86,@BBC
86,0.4939,Tue Jul 10 08:55:48 +0000 2018,0.856,0.0,0.144,87,@BBC
87,0.0,Tue Jul 10 08:05:02 +0000 2018,1.0,0.0,0.0,88,@BBC
88,0.5719,Tue Jul 10 07:29:03 +0000 2018,0.829,0.0,0.171,89,@BBC
89,0.6369,Mon Jul 09 20:02:05 +0000 2018,0.833,0.0,0.167,90,@BBC
90,0.5994,Mon Jul 09 19:02:06 +0000 2018,0.818,0.0,0.182,91,@BBC
91,0.4767,Mon Jul 09 18:02:03 +0000 2018,0.78,0.0,0.22,92,@BBC
92,0.9403,Mon Jul 09 16:04:04 +0000 2018,0.505,0.0,0.495,93,@BBC
93,0.0,Mon Jul 09 15:51:05 +0000 2018,1.0,0.0,0.0,94,@BBC
94,0.8268,Mon Jul 09 15:20:14 +0000 2018,0.675,0.0,0.325,95,@BBC
95,0.8221,Mon Jul 09 14:29:05 +0000 2018,0.664,0.0,0.336,96,@BBC
96,-0.5423,Mon Jul 09 14:23:06 +0000 2018,0.78,0.22,0.0,97,@BBC
97,0.4215,Mon Jul 09 14:17:04 +0000 2018,0.872,0.0,0.128,98,@BBC
98,-0.4767,Mon Jul 09 13:03:05 +0000 2018,0.795,0.205,0.0,99,@BBC
99,0.6597,Mon Jul 09 12:18:40 +0000 2018,0.531,0.115,0.354,100,@BBC
100,0.1139,Fri Jul 13 21:35:01 +0000 2018,0.922,0.0,0.078,1,@CBS
101,-0.4404,Fri Jul 13 21:15:41 +0000 2018,0.868,0.132,0.0,2,@CBS
102,0.0,Fri Jul 13 17:49:38 +0000 2018,1.0,0.0,0.0,3,@CBS
103,0.6514,Thu Jul 12 01:01:24 +0000 2018,0.718,0.0,0.282,4,@CBS
104,0.5562,Wed Jul 11 21:44:45 +0000 2018,0.826,0.0,0.174,5,@CBS
105,0.5411,Wed Jul 11 19:09:34 +0000 2018,0.857,0.0,0.143,6,@CBS
106,0.0,Mon Jul 09 23:55:07 +0000 2018,1.0,0.0,0.0,7,@CBS
107,-0.3818,Mon Jul 09 18:53:34 +0000 2018,0.894,0.106,0.0,8,@CBS
108,0.3182,Mon Jul 09 18:09:00 +0000 2018,0.897,0.0,0.103,9,@CBS
109,0.4019,Fri Jul 06 22:22:55 +0000 2018,0.847,0.0,0.153,10,@CBS
110,0.7777,Fri Jul 06 18:26:37 +0000 2018,0.657,0.0,0.343,11,@CBS
111,0.3612,Thu Jul 05 21:12:17 +0000 2018,0.898,0.0,0.102,12,@CBS
112,0.3182,Mon Jul 02 21:13:11 +0000 2018,0.892,0.0,0.108,13,@CBS
113,0.0,Mon Jul 02 20:47:32 +0000 2018,1.0,0.0,0.0,14,@CBS
114,0.0,Mon Jul 02 17:27:06 +0000 2018,1.0,0.0,0.0,15,@CBS
115,0.5411,Mon Jul 02 17:00:02 +0000 2018,0.741,0.0,0.259,16,@CBS
116,0.0,Wed Jun 27 20:31:32 +0000 2018,1.0,0.0,0.0,17,@CBS
117,0.7574,Wed Jun 27 14:00:01 +0000 2018,0.711,0.0,0.289,18,@CBS
118,0.5574,Mon Jun 25 18:20:25 +0000 2018,0.796,0.0,0.204,19,@CBS
119,0.1867,Fri Jun 22 21:19:06 +0000 2018,0.902,0.0,0.098,20,@CBS
120,0.4199,Fri Jun 22 18:33:53 +0000 2018,0.811,0.0,0.189,21,@CBS
121,0.4926,Thu Jun 21 23:29:50 +0000 2018,0.758,0.0,0.242,22,@CBS
122,0.3555,Wed Jun 20 00:39:01 +0000 2018,0.642,0.136,0.222,23,@CBS
123,0.0,Mon Jun 18 20:27:50 +0000 2018,1.0,0.0,0.0,24,@CBS
124,0.0,Mon Jun 18 15:00:46 +0000 2018,1.0,0.0,0.0,25,@CBS
125,0.9392,Sun Jun 17 13:00:01 +0000 2018,0.507,0.0,0.493,26,@CBS
126,0.3595,Fri Jun 15 18:48:29 +0000 2018,0.872,0.0,0.128,27,@CBS
127,-0.296,Thu Jun 14 17:30:00 +0000 2018,0.833,0.167,0.0,28,@CBS
128,0.1779,Thu Jun 14 16:19:32 +0000 2018,0.734,0.12,0.147,29,@CBS
129,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.551,0.315,0.134,30,@CBS
130,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.829,0.0,0.171,31,@CBS
131,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.833,0.167,0.0,32,@CBS
132,0.0,Mon Jun 11 14:00:37 +0000 2018,1.0,0.0,0.0,33,@CBS
133,0.0,Mon Jun 11 06:19:36 +0000 2018,1.0,0.0,0.0,34,@CBS
134,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.78,0.0,0.22,35,@CBS
135,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.594,0.0,0.406,36,@CBS
136,0.92,Mon Jun 11 03:02:06 +0000 2018,0.537,0.0,0.463,37,@CBS
137,0.0,Mon Jun 11 02:58:30 +0000 2018,1.0,0.0,0.0,38,@CBS
138,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.847,0.0,0.153,39,@CBS
139,0.836,Mon Jun 11 02:56:10 +0000 2018,0.533,0.0,0.467,40,@CBS
140,0.0,Mon Jun 11 02:53:00 +0000 2018,1.0,0.0,0.0,41,@CBS
141,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.682,0.0,0.318,42,@CBS
142,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.457,0.0,0.543,43,@CBS
143,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.45,0.0,0.55,44,@CBS
144,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.698,0.0,0.302,45,@CBS
145,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.877,0.0,0.123,46,@CBS
146,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.483,0.0,0.517,47,@CBS
147,0.0,Mon Jun 11 02:21:03 +0000 2018,1.0,0.0,0.0,48,@CBS
148,0.0,Mon Jun 11 02:16:06 +0000 2018,1.0,0.0,0.0,49,@CBS
149,0.8908,Mon Jun 11 02:11:03 +0000 2018,0.509,0.0,0.491,50,@CBS
150,0.0,Mon Jun 11 02:05:47 +0000 2018,1.0,0.0,0.0,51,@CBS
151,0.4926,Mon Jun 11 02:03:31 +0000 2018,0.738,0.0,0.262,52,@CBS
152,0.5093,Mon Jun 11 01:58:48 +0000 2018,0.477,0.0,0.523,53,@CBS
153,0.7579,Mon Jun 11 01:53:17 +0000 2018,0.435,0.0,0.565,54,@CBS
154,0.6467,Mon Jun 11 01:51:16 +0000 2018,0.752,0.0,0.248,55,@CBS
155,0.0,Mon Jun 11 01:38:23 +0000 2018,1.0,0.0,0.0,56,@CBS
156,0.636,Mon Jun 11 01:37:36 +0000 2018,0.724,0.0,0.276,57,@CBS
157,0.8834,Mon Jun 11 01:30:56 +0000 2018,0.437,0.0,0.563,58,@CBS
158,0.0,Mon Jun 11 01:29:21 +0000 2018,1.0,0.0,0.0,59,@CBS
159,0.7351,Mon Jun 11 01:26:03 +0000 2018,0.625,0.079,0.296,60,@CBS
160,0.0,Mon Jun 11 01:25:59 +0000 2018,1.0,0.0,0.0,61,@CBS
161,0.0,Mon Jun 11 01:24:46 +0000 2018,1.0,0.0,0.0,62,@CBS
162,0.4019,Mon Jun 11 01:24:12 +0000 2018,0.838,0.0,0.162,63,@CBS
